band,day,stage
Napalm Death,Official Pre-Fest,Nevermore Hall
Repulsion,Official Pre-Fest,Nevermore Hall
Sinister,Official Pre-Fest,Nevermore Hall
Monstrosity,Official Pre-Fest,Nevermore Hall
Organ Dealer,Official Pre-Fest,Nevermore Hall
Solitude Aeturnus,"Thursday May 21, 2026",Power Plant Live
Novembers Doom,"Thursday May 21, 2026",Power Plant Live
Windhand,"Thursday May 21, 2026",Power Plant Live
Bongzilla,"Thursday May 21, 2026",Nevermore Hall
Rwake,"Thursday May 21, 2026",Nevermore Hall
Avernus,"Thursday May 21, 2026",Nevermore Hall
Lair of the Minotaur,"Thursday May 21, 2026",Nevermore Hall
Black Lung,"Thursday May 21, 2026",Nevermore Hall
Torsofuck,"Thursday May 21, 2026",Soundstage
Putridity,"Thursday May 21, 2026",Soundstage
Cephalotripsy,"Thursday May 21, 2026",Soundstage
Condemned,"Thursday May 21, 2026",Soundstage
Emasculator,"Thursday May 21, 2026",Soundstage
Cerebral Hemorrhage,"Thursday May 21, 2026",Soundstage
Old Man's Child,"Friday May 22, 2026",Market Place/Power Plant Live
Rotting Christ 1989-1995,"Friday May 22, 2026",Market Place/Power Plant Live
The Crown,"Friday May 22, 2026",Market Place/Power Plant Live
Wolfheart,"Friday May 22, 2026",Market Place/Power Plant Live
God Dethroned 35th Anniversary,"Friday May 22, 2026",Market Place/Power Plant Live
Cryptic Shift,"Friday May 22, 2026",Market Place/Power Plant Live
Witch Vomit,"Friday May 22, 2026",Market Place/Power Plant Live
Oranssi Pazuzu,"Friday May 22, 2026",Nevermore Hall
Der Weg einer Freiheit,"Friday May 22, 2026",Nevermore Hall
Wayfarer,"Friday May 22, 2026",Nevermore Hall
Pan-Amerikan Native Front,"Friday May 22, 2026",Nevermore Hall
Lömsk,"Friday May 22, 2026",Nevermore Hall
Lividity,"Friday May 22, 2026",Soundstage
To Violently Vomit She Lay Gutted (Disgorge),"Friday May 22, 2026",Soundstage
Rottrevore,"Friday May 22, 2026",Soundstage
Necrofier,"Friday May 22, 2026",Soundstage
Diabolic Oath,"Friday May 22, 2026",Soundstage
Melting Rot,"Friday May 22, 2026",Soundstage
Grave Infestation,"Friday May 22, 2026",Soundstage
Tithe,"Friday May 22, 2026",Angels Rock Bar
Bone Weapon,"Friday May 22, 2026",Angels Rock Bar
Withering Soul,"Friday May 22, 2026",Angels Rock Bar
Kreator Deep Cuts,"Saturday May 23, 2026",Market Place/Power Plant Live
Destruction Infernal Overkill,"Saturday May 23, 2026",Market Place/Power Plant Live
Mortician,"Saturday May 23, 2026",Market Place/Power Plant Live
Pig Destroyer Prowler in the Yard,"Saturday May 23, 2026",Market Place/Power Plant Live
Whiplash,"Saturday May 23, 2026",Market Place/Power Plant Live
Macabre,"Saturday May 23, 2026",Market Place/Power Plant Live
Warbringer,"Saturday May 23, 2026",Market Place/Power Plant Live
Torture Rack,"Saturday May 23, 2026",Market Place/Power Plant Live
1914,"Saturday May 23, 2026",Nevermore Hall
Hellbutcher,"Saturday May 23, 2026",Nevermore Hall
Havukruunu,"Saturday May 23, 2026",Nevermore Hall
Acheron,"Saturday May 23, 2026",Nevermore Hall
Sardonic Witchery,"Saturday May 23, 2026",Nevermore Hall
Poltergeist,"Saturday May 23, 2026",Nevermore Hall
Rotten Sound Murderworks/Exit,"Saturday May 23, 2026",Soundstage
Miasmatic Necrosis,"Saturday May 23, 2026",Soundstage
Anatomia,"Saturday May 23, 2026",Soundstage
Soil of Ignorance,"Saturday May 23, 2026",Soundstage
Mellow Harsher,"Saturday May 23, 2026",Soundstage
Ossuary,"Saturday May 23, 2026",Soundstage
Terror Corpse,"Saturday May 23, 2026",Soundstage
Gestation,"Saturday May 23, 2026",Soundstage
Dead Void,"Saturday May 23, 2026",Soundstage
Laceration,"Saturday May 23, 2026",Angels Rock Bar
Glorious Depravity,"Saturday May 23, 2026",Angels Rock Bar
Desolus,"Saturday May 23, 2026",Angels Rock Bar
Atavistic Decay,"Saturday May 23, 2026",Angels Rock Bar
"Sarcófago performed by Gerald ""Incubus"" Minelli & the Laws","Sunday May 24, 2026",Market Place/Power Plant Live
Grave Old School Grave & Corpse,"Sunday May 24, 2026",Market Place/Power Plant Live
Death Angel Act III,"Sunday May 24, 2026",Market Place/Power Plant Live
Dying Fetus Old school set - First 3 Albums,"Sunday May 24, 2026",Market Place/Power Plant Live
Cancer Death Shall Rise,"Sunday May 24, 2026",Market Place/Power Plant Live
Blood Red Throne,"Sunday May 24, 2026",Market Place/Power Plant Live
Unmerciful,"Sunday May 24, 2026",Market Place/Power Plant Live
Chaotian,"Sunday May 24, 2026",Market Place/Power Plant Live
Batushka,"Sunday May 24, 2026",Nevermore Hall
...And Oceans,"Sunday May 24, 2026",Nevermore Hall
StarGazer,"Sunday May 24, 2026",Nevermore Hall
Wrathprayer,"Sunday May 24, 2026",Nevermore Hall
Antichrist Siege Machine,"Sunday May 24, 2026",Nevermore Hall
Aberration,"Sunday May 24, 2026",Nevermore Hall
Cephalic Carnage Old school set - First 3 albums,"Sunday May 24, 2026",Soundstage
Sex Prisoner,"Sunday May 24, 2026",Soundstage
Houkago Grind Time,"Sunday May 24, 2026",Soundstage
Slimelord,"Sunday May 24, 2026",Soundstage
!T.O.O.H.!,"Sunday May 24, 2026",Soundstage
Aftermath,"Sunday May 24, 2026",Soundstage
Excrescence,"Sunday May 24, 2026",Soundstage
Hemorrhoid,"Sunday May 24, 2026",Soundstage
Tómarúm,"Sunday May 24, 2026",Angels Rock Bar
Gudsforladt,"Sunday May 24, 2026",Angels Rock Bar
Cemetery Moon,"Sunday May 24, 2026",Angels Rock Bar
